strategy,model,horizon,seq_length,rmse,mae,r2,n_train,n_test,category
direct,RF_tuned,3,12,0.21458415294923963,0.1379179878335011,0.7319698469077545,7508,2443,ML
direct,XGB_default,3,12,0.22721062073608966,0.1428504900285408,0.699499209712431,7508,2443,ML
direct,XGB_tuned,3,12,0.2154063354301679,0.1375845208397283,0.7299119887841429,7508,2443,ML
direct,LSTM_small,3,12,0.20689105490920773,0.13245883349409457,0.7508437474741408,7508,2443,DL
direct,LSTM_medium,3,12,0.214848193597983,0.14384326187055663,0.7313098317533142,7508,2443,DL
direct,LSTM_large,3,12,0.24939269020439414,0.19044576577213104,0.6379606286457902,7508,2443,DL
direct,GRU_small,3,12,0.20537875544988535,0.13076987382380637,0.7544729206524177,7508,2443,DL
direct,GRU_medium,3,12,0.20848294416060942,0.13288411029563724,0.7469948129760804,7508,2443,DL
direct,Naive,6,4,0.2735130890708413,0.17056767544220083,0.5645436869753504,8073,2443,Baseline
direct,MovingAvg,6,4,0.24546846583670795,0.1650006819387935,0.6492644570902308,8073,2443,Baseline
direct,RF_default,6,4,0.2501805887689789,0.1631139796747509,0.6356694557009999,8073,2443,ML
direct,RF_tuned,6,4,0.24405380949131733,0.1589683072235571,0.6532954475739181,8073,2443,ML
direct,XGB_default,6,4,0.25785528156886095,0.16431808897510053,0.612973747454955,8073,2443,ML
direct,XGB_tuned,6,4,0.2496812004045626,0.15971201681929276,0.6371224928596425,8073,2443,ML
direct,LSTM_small,6,4,0.2297397667389603,0.15663136220594068,0.6927720565900752,8073,2443,DL
direct,LSTM_medium,6,4,0.230778598265446,0.15155213718978575,0.6899873436214339,8073,2443,DL
direct,LSTM_large,6,4,0.2725749612447654,0.21515917967212678,0.5675257241508795,8073,2443,DL
direct,GRU_small,6,4,0.24134634796492338,0.17402968176700764,0.6609452561702189,8073,2443,DL
direct,GRU_medium,6,4,0.24384890436898973,0.17216341702380225,0.6538773824840424,8073,2443,DL
direct,Naive,6,6,0.2735130890708413,0.17056767544220083,0.5645436869753504,7847,2443,Baseline
direct,MovingAvg,6,6,0.2407129889949655,0.1673766577671875,0.6627224663281231,7847,2443,Baseline
direct,RF_default,6,6,0.23493852132067813,0.15251762499823093,0.6787102843631484,7847,2443,ML
direct,RF_tuned,6,6,0.2304538020150967,0.15022634537098933,0.6908593490259767,7847,2443,ML
direct,XGB_default,6,6,0.24583679163120756,0.15952474840956288,0.6482111090101603,7847,2443,ML
direct,XGB_tuned,6,6,0.2323253491337534,0.15102865141329933,0.6858178125604386,7847,2443,ML
direct,LSTM_small,6,6,0.2335878939005188,0.16422346893757964,0.6823937617304159,7847,2443,DL
direct,LSTM_medium,6,6,0.22567779852617423,0.1527475083234173,0.7035400469920128,7847,2443,DL
direct,LSTM_large,6,6,0.25671977197464185,0.1959396977005507,0.6163749139961818,7847,2443,DL
direct,GRU_small,6,6,0.23335074390780955,0.16458344484668952,0.6830383335134461,7847,2443,DL
direct,GRU_medium,6,6,0.23501653877688722,0.1642707144776041,0.6784968636935826,7847,2443,DL
direct,Naive,6,12,0.2735130890708413,0.17056767544220083,0.5645436869753504,7169,2443,Baseline
direct,MovingAvg,6,12,0.2458415405866549,0.18461105086178595,0.6481975175058513,7169,2443,Baseline
direct,RF_default,6,12,0.22265765283676825,0.14749336911305191,0.7114217367668412,7169,2443,ML
direct,RF_tuned,6,12,0.21978420893974476,0.14626286804155936,0.7188220021672458,7169,2443,ML
direct,XGB_default,6,12,0.24350295388312623,0.15929786485804623,0.654858779952471,7169,2443,ML
direct,XGB_tuned,6,12,0.22970000280111458,0.1505123369092145,0.6928783989597944,7169,2443,ML
direct,LSTM_small,6,12,0.2679921906804504,0.1886252523697443,0.5819457529880168,7169,2443,DL
direct,LSTM_medium,6,12,0.2501141042160593,0.17733397647824348,0.6358630689223299,7169,2443,DL
direct,LSTM_large,6,12,0.22364584535962287,0.14506483751621196,0.7088545337376551,7169,2443,DL
direct,GRU_small,6,12,0.21313031782095007,0.13834560518815137,0.735589420944194,7169,2443,DL
direct,GRU_medium,6,12,0.23031725747923965,0.16368403622530384,0.6912255739363535,7169,2443,DL
direct,Naive,12,4,0.30391846309196385,0.2120453207479117,0.4623464337694272,7395,2443,Baseline
direct,MovingAvg,12,4,0.2850498942813092,0.2124969854971352,0.5270337725626202,7395,2443,Baseline
direct,RF_default,12,4,0.2616654114401046,0.17804232800315525,0.6014516646522757,7395,2443,ML
direct,RF_tuned,12,4,0.2562983723309998,0.1744671653617793,0.6176333039762267,7395,2443,ML
direct,XGB_default,12,4,0.2722257800334274,0.18044055984978102,0.5686330537764157,7395,2443,ML
direct,XGB_tuned,12,4,0.25856190234819976,0.1753461987503149,0.6108496450451123,7395,2443,ML
direct,LSTM_small,12,4,0.25151149035397485,0.18379864655518835,0.6317828404660848,7395,2443,DL
direct,LSTM_medium,12,4,0.2504487516859821,0.18006745631157736,0.6348880017666814,7395,2443,DL
direct,LSTM_large,12,4,0.2897779964731502,0.23216969071510818,0.5112135332476866,7395,2443,DL
direct,GRU_small,12,4,0.2585406062914668,0.1924651913166182,0.6109137459561383,7395,2443,DL
direct,GRU_medium,12,4,0.26566965647202595,0.19916659509502113,0.58916042573624,7395,2443,DL
direct,Naive,12,6,0.30391846309196385,0.2120453207479117,0.4623464337694272,7169,2443,Baseline
direct,MovingAvg,12,6,0.2813636853292517,0.21568341815259856,0.5391872894424796,7169,2443,Baseline
direct,RF_default,12,6,0.24719796237355107,0.16882306629561178,0.6443046929075398,7169,2443,ML
direct,RF_tuned,12,6,0.24187921948091287,0.16629167630680952,0.6594463971943305,7169,2443,ML
direct,XGB_default,12,6,0.25650804795258253,0.17202336025421125,0.6170074258767105,7169,2443,ML
direct,XGB_tuned,12,6,0.2452943738799642,0.16822541756792522,0.6497617803132782,7169,2443,ML
direct,LSTM_small,12,6,0.25083604509011,0.18594839310965303,0.6337579118597805,7169,2443,DL
direct,LSTM_medium,12,6,0.26009520442102707,0.19985710452275607,0.6062205465876356,7169,2443,DL
direct,LSTM_large,12,6,0.25819701845823023,0.18701457424657247,0.6119472120276197,7169,2443,DL
direct,GRU_small,12,6,0.2404236131294895,0.16687892832439116,0.6635329029660098,7169,2443,DL
direct,GRU_medium,12,6,0.25838410217755564,0.19109488386396697,0.6113846597497778,7169,2443,DL
direct,Naive,12,12,0.30391846309196385,0.2120453207479117,0.4623464337694272,6491,2443,Baseline
direct,MovingAvg,12,12,0.284859786447935,0.22898744219894374,0.5276644312877856,6491,2443,Baseline
direct,RF_default,12,12,0.23447611941005086,0.16050662135959023,0.6799737534276344,6491,2443,ML
direct,RF_tuned,12,12,0.23271325991327005,0.1602542727281303,0.6847677643930457,6491,2443,ML
direct,XGB_default,12,12,0.24235571679043513,0.1651437709658615,0.6581033077547197,6491,2443,ML
direct,XGB_tuned,12,12,0.23534381315773265,0.16023935393582922,0.6776008160982351,6491,2443,ML
direct,LSTM_small,12,12,0.23524154261858538,0.17134489600026714,0.6778809575118206,6491,2443,DL
direct,LSTM_medium,12,12,0.25297222942178377,0.18525701803839695,0.6274933257459236,6491,2443,DL
direct,LSTM_large,12,12,0.27214752875450765,0.2097598096378627,0.5688810109227471,6491,2443,DL
direct,GRU_small,12,12,0.22229104551569331,0.14828673287783284,0.7123712465334945,6491,2443,DL
direct,GRU_medium,12,12,0.24092650590192316,0.16888599541615656,0.6621238580423063,6491,2443,DL
